Bmr026-c1_0000040_0000140,yeah .,yeah .,z,z
Bmr026-c1_0948124_0955854,so i mean i think that what you want to do is plan ahead a little bit and figure well here's what we pi- - figure on doing for the next few months .,so i mean i think that what you want to do is plan ahead a little bit and figure well here's what we pi- - figure on doing for the next few months .,s,s
Bmr026-c5_0948473_0948663,yeah .,yeah .,b,b
Bmr026-c0_0955252_0956642,wa- - a- - i know what they want .,wa- - a- - i know what they want .,s,s
Bmr026-c0_0956842_0960632,the sysadmins would prefer to have one external drive per machine .,the sysadmins would prefer to have one external drive per machine .,s,s
Bmr026-c1_0961035_0961325,yeah .,yeah .,b,b
Bmr026-c0_0961082_0963312,so they don't want to stack up external drives .,so they don't want to stack up external drives .,s,s
Bmr026-c0_0963970_0966530,um - | and then they want everything else in the machine room .,um - | and then they want everything else in the machine room .,fh|s,fh|s
Bmr026-c1_0967629_0967849,right .,right .,b,b
Bmr026-c0_0968900_0970460,so the question is where are you going to hang them ?,so the question is where are you gonna hang them ?,qw,qw
Bmr026-c5_0971154_0971694,uhhuh .,mm-hmm .,b,b
Bmr026-c5_0972220_0974460,i don't know what the space situation is in the machine room .,i don't know what the space situation is in the machine room .,s,s
Bmr026-c0_0974792_0975042,right .,right .,b,b
Bmr026-c5_0975718_0976028,so ==,so ==,%-,%-
Bmr026-c1_0978038_0978258,right .,right .,b,b
Bmr026-c1_0978258_0981158,so this is a question that's pretty hard to solve without talking to dave .,so this is a question that's pretty hard to solve without talking to dave .,s,s
Bmr026-c3_0978334_0978734,th- - the ==,<o_k> th- - the ==,%-,%-
Bmr026-c5_0980320_0986250,i think part of the reason why dave can't get the - the new machines up is because he doesn't have room in the machine room right now .,i think part of the reason why dave can't get the - the new machines up is because he doesn't have room in the machine room right now .,s,s
Bmr026-c1_0981218_0981588,because it ==,cuz it ==,s^df.%-,s^df.%-
Bmr026-c3_0982780_0983020,one ==,one ==,%-,%-
Bmr026-c3_0983710_0983910,huh .,mmm .,%,%
Bmr026-c0_0985367_0985537,yep .,yep .,b,b
Bmr026-c3_0985790_0992131,one - one - on- - one thing to in- - to um - t- - to do when you need to conserve space is ==,one - one - on- - one thing to in- - to um - t- - to do when you need to conserve space is ==,s.%--,s.%--
Bmr026-c5_0986250_0987620,so he has to re arrange a bunch of stuff .,so he has to re-arrange a bunch of stuff .,s,s
Bmr026-c3_0992718_0997180,i bet there are still some old uh - like nine gig disks uh - around .,i bet there are still some old uh - like nine gig disks uh - around .,s,s
Bmr026-c3_0997180_0999660,and you can probably consolidate them onto larger disks .,and you can probably consolidate them onto larger disks .,s,s
Bmr026-c3_0999660_1001770,and - and you know recover the space .,and - and you know recover the space .,s,s
Bmr026-c0_1001820_1002050,yep .,yep .,b,b
Bmr026-c1_1002680_1002770,yeah .,yeah .,b,b
Bmr026-c1_1002770_1002900,no .,no .,fg,fg
Bmr026-c1_1002900_1005080,i think dave - dave knows all these things of course .,i think dave - dave knows all these things of course .,s,s
Bmr026-c3_1004820_1005090,right .,right .,b,b
Bmr026-c1_1005080_1012270,an- - and so he always has a- - a lot of plans of things that he's going to do to make things better in many ways an- - and runs out of time .,an- - and so he always has a- - a lot of plans of things that he's gonna do to make things better in many ways an- - and runs out of time .,s,s
Bmr026-c3_1010290_1010750,uhhuh .,mm-hmm .,b,b
Bmr026-c0_1010790_1015100,but i - i know that generally their first priority has been for backed up disk .,but i - i know that generally their first priority has been for backed up disk .,s,s
Bmr026-c0_1015100_1022600,and so i think what he's been concentrating on is uh - the back - the back up system rather than on new disk .,and so i think what he's been concentrating on is uh - the back - the back up system rather than on new disk .,s,s
Bmr026-c3_1017850_1018200,huh .,mmm .,b,b
Bmr026-c3_1022070_1022330,huh .,mmm .,b,b
Bmr026-c0_1022860_1023100,so ==,so ==,fh,fh
Bmr026-c1_1025840_1026140,well .,well .,fg,fg
Bmr026-c1_1026140_1026290,so ==,so ==,s.%--,s.%--
Bmr026-c0_1026250_1026520,which ==,which ==,%-,%-
Bmr026-c1_1026290_1028290,but this - this is a very specific question for me .,but this - this is a very specific question for me .,s,s
Bmr026-c1_1028290_1032220,basically we can easily get one to four disks .,basically we can easily get one to four disks .,s,s
Bmr026-c1_1032220_1034500,i mean you just go out and get four and we've got the money for it .,i mean you just go out and get four and we've got the money for it .,s,s
Bmr026-c1_1034500_1035310,it's no big deal .,it's no big deal .,s,s
Bmr026-c1_1035950_1037770,uh - | but the question is where they go ?,uh - | but the question is where they go ?,fh|qo,fh|qo
Bmr026-c1_1038080_1039280,and i don't think we can solve that here .,and i don't think we can solve that here .,s,s
Bmr026-c3_1039170_1041770,maybe we can put some disks in the - in that back room there .,maybe we can put some disks in the - in that back room there .,s^cs,s^cs
Bmr026-c1_1039280_1040120,you just have to ask him .,you just have to ask him .,s^cs,s^cs
Bmr026-c0_1042070_1042480,yeah really .,yeah really .,s^aa,s^aa
Bmr026-c1_1044270_1045110,attach to ==,attach to ==,s.%-,s.%-
Bmr026-c0_1045660_1046150,popcorn .,popcorn .,s^2,s^2
Bmr026-c3_1046560_1047900,to the machine that collects the data .,to the machine that collects the data .,s^2^rt,s^2^rt
Bmr026-c1_1046640_1046910,yeah .,yeah .,b,b
Bmr026-c3_1048140_1050870,so then you could at least temporarily store stuff there .,so then you could at least temporarily store stuff there .,s^rt,s^rt
Bmr026-c3_1051390_1051800,the only ==,the only ==,%-,%-
Bmr026-c5_1051410_1051670,huh .,hmm .,b.%,b.%
Bmr026-c0_1051440_1054520,yeah it's just - it's not on the net so it's a little awkward .,yeah it's just - it's not on the net so it's a little awkward .,s^arp,s^arp
Bmr026-c3_1053850_1054850,what do you mean it's not on the net ?,what do you mean it's not on the net ?,qw^bu,qw^bu
Bmr026-c0_1055050_1055630,it's not ==,it's not ==,s.%--,s.%--
Bmr026-c2_1055150_1055740,it's not bad .,it's not bad .,s,s
Bmr026-c0_1056280_1060240,it's behind lots of fire walls that don't allow any services through except s s h .,it's behind lots of fire walls that don't allow any services through except s_s_h .,s,s
Bmr026-c3_1058780_1061190,oh because it's - because it's an aciri machine ?,oh because it's - because it's an aciri machine ?,qy^bu^d^rt,qy^bu^d^rt
Bmr026-c0_1060850_1061110,yep .,yep .,s^aa,s^aa
Bmr026-c3_1061190_1062300,oh oh oh .,oh oh oh .,s^bk,s^bk
Bmr026-c1_1061290_1061570,yeah .,yeah .,b,b
Bmr026-c0_1062340_1065020,and also on the list is to get it into the normal icsi net .,and also on the list is to get it into the normal icsi net .,s,s
Bmr026-c0_1065100_1067540,but who knows when that will happen ?,but who knows when that will happen ?,qh,qh
Bmr026-c5_1067660_1070440,that might be a good short term solution though .,that might be a good short term solution though .,s,s
Bmr026-c3_1068080_1069190,but that can't be that hard .,but that can't be that hard .,s,s
Bmr026-c3_1069190_1069480,i mean ==,i mean ==,fh,fh
Bmr026-c0_1070020_1077590,no the - the problem with that apparently is that they don't currently have a wire running to that back room that goes anywhere near one of the icsi routers .,no the - the problem with that apparently is that they don't currently have a wire running to that back room that goes anywhere near one of the icsi routers .,s,s
Bmr026-c3_1078060_1078550,oh ==,oh ==,%-,%-
Bmr026-c0_1078790_1081400,so they actually have to run a wire somewhere .,so they actually have to run a wire somewhere .,s,s
Bmr026-c1_1081840_1082010,yeah .,yeah .,fg,fg
Bmr026-c1_1082870_1086700,yeah e- - again you know any one of these things is certainly not a big deal .,yeah e- - again you know any one of these things is certainly not a big deal .,s,s
Bmr026-c1_1086700_1093440,if there was a person dedicated to doing it they would happen pretty easily but it's - it's - jus- - every- - ever- - everybody - everybody has a - has ==,if there was a person dedicated to doing it they would happen pretty easily but it's - it's - jus- - every- - ever- - everybody - everybody has a - has ==,s.%-,s.%-
Bmr026-c0_1090780_1092130,but dave has to do all of them .,but dave has to do all of them .,s^arp,s^arp
Bmr026-c1_1093800_1096340,well all of us have long lists of different things we're doing .,well all of us have long lists of different things we're doing .,s^nd,s^nd
Bmr026-c1_1097290_1101060,but at any rate i think that there's a - there's a longer term thing and there's immediate need .,but at any rate i think that there's a - there's a longer term thing and there's immediate need .,s,s
Bmr026-c1_1101060_1103170,and i think we need a - a conversation with ==,and i think we need a - a conversation with ==,s^cs.%--,s^cs.%--
Bmr026-c1_1103960_1109490,uh - | maybe - maybe after - after tea or something you and i can go down and - and talk to him about it .,uh - | maybe - maybe after - after tea or something you and i can go down and - and talk to him about it .,fh|s^cs.x,fh|s^cs.x
Bmr026-c1_1110040_1111660,just say wha- - you know what should we do right now .,just say wha- - you know what should we do right now .,s,s
Bmr026-c5_1112300_1113410,how long is david going to be gone ?,how long is david gonna be gone ?,qw^rt,qw^rt
Bmr026-c1_1114290_1116320,uh - | eleven days or something .,uh - | eleven days or something .,h|s^rt,h|s^rt
Bmr026-c0_1116960_1117240,oh my !,oh my !,s^fe,s^fe
Bmr026-c1_1120670_1120730,yeah .,yeah .,b,b
Bmr026-c1_1120730_1124320,basically tomorrow and all of the week after .,basically tomorrow and all of the week after .,s^e,s^e
Bmr026-c0_1126560_1127230,and that's all i have .,and that's all i have .,s^rt^tc,s^rt^tc
Bmr026-c1_1128560_1128920,um ==,um ==,fg,fg
Bmr026-c1_1129740_1130120,let's see .,let's see .,h,h
Bmr026-c1_1130120_1135700,the only oth- - thing - other thing i was going to add was that um - uh - i talked briefly to mari .,the only oth- - thing - other thing i was gonna add was that um - uh - i talked briefly to mari .,s,s
Bmr026-c1_1135780_1143070,and uh - we had both been busy with other things so we haven't really connected that much since the last meeting we had here .,and uh - we had both been busy with other things so we haven't really connected that much since the last meeting we had here .,s,s
Bmr026-c1_1143440_1147780,but we agreed that we would have a telephone meeting the friday after next .,but we agreed that we would have a telephone meeting the friday after next .,s,s
Bmr026-c1_1148310_1153730,and i - i - i wanted to make it um - after the next one of these meetings .,and i - i - i wanted to make it um - after the next one of these meetings .,s,s
Bmr026-c1_1153730_1168180,so something that we want to do next meeting is - is uh - to put together um - a kind of reasonable list for ourselves of what is it um - that we've done .,so something that we wanna do next meeting is - is uh - to put together um - a kind of reasonable list for ourselves of what is it um - that we've done .,s,s
Bmr026-c1_1169050_1176160,i mean just sort of bulletize i mean o- - e- - do- - do- - i can - i can dream up text but this is basically going to lead to the annual report .,i mean just sort of bulletize i mean o- - e- - do- - do- - i can - i can dream up text but this is basically gonna lead to the annual report .,s,s
Bmr026-c1_1176600_1178720,so um - | if w- ==,so um - | if w- ==,fh|%-,fh|%-
Bmr026-c3_1176790_1177100,uhhuh .,mm-hmm .,b.%,b.%
Bmr026-c0_1178340_1179170,this is the fifteenth ?,this is the fifteenth ?,qy^bu^d^rt,qy^bu^d^rt
Bmr026-c1_1181390_1182410,um - | that would ==,um - | that would ==,h|%-,h|%-
Bmr026-c0_1181720_1182800,so just a week from tomorrow ?,so just a week from tomorrow ?,qy^bu^d^rt,qy^bu^d^rt
Bmr026-c1_1183050_1183330,yeah .,yeah .,s^aa,s^aa
Bmr026-c0_1183460_1183690,okay .,o_k .,s^bk,s^bk
Bmr026-c1_1184010_1184220,yeah .,yeah .,fh,fh
Bmr026-c1_1184910_1186150,so uh - | we can ==,so uh - | we can ==,fh|%--,fh|%--
Bmr026-c1_1186390_1186570,this ==,this ==,%-,%-
Bmr026-c3_1186490_1187810,is this got to be in the morning ?,is this gotta be in the morning ?,qy^rt,qy^rt
Bmr026-c1_1186570_1187050,so that's an ==,so that's an ==,%-,%-
Bmr026-c1_1189280_1189630,um ==,um ==,h,h
Bmr026-c3_1189440_1189690,or ==,or ==,%--,%--
Bmr026-c3_1189820_1194690,because you know i - fridays i have to leave uh - like around uh - two .,because you know i - fridays i have to leave uh - like around uh - two .,s,s
Bmr026-c3_1196810_1198940,so if it could be before that would be be ==,so if it could be before that would be be- ==,s^cs.%-,s^cs.%-
Bmr026-c1_1198210_1200730,no no but i - i - i don't need other folks for the meeting .,no no but i - i - i don't need other folks for the meeting .,s^nd,s^nd
Bmr026-c1_1200730_1201170,i can do it .,i can do it .,s,s
Bmr026-c3_1200800_1201600,oh okay all right .,oh o_k alright .,s^bk,s^bk
Bmr026-c1_1201170_1202530,a- - a- - all i'm saying is that on ==,a- - a- - all i'm saying is that on ==,s.%-,s.%-
Bmr026-c3_1202180_1203540,oh i'm sorry i misunderstood .,oh i'm sorry i misunderstood .,s^fa,s^fa
Bmr026-c3_1203540_1204150,i thought you are ==,i thought you are ==,s.%-,s.%-
Bmr026-c1_1203580_1203680,yeah .,yeah .,fg,fg
Bmr026-c1_1203680_1213300,so what i meant was on the me- - this meeting if i wa- - something i - i - i'm making a major thing in the agenda is i want to help in getting together a list of what it is that we've done so i can tell her .,so what i meant was on the me- - this meeting if i wa- - Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.out Bmr020.trans Bmr021.dadb Bmr021.out Bmr021.trans Bmr022.dadb Bmr022.out Bmr022.trans Bmr023.dadb Bmr023.out Bmr023.trans Bmr024.dadb Bmr024.out Bmr024.trans Bmr025.dadb Bmr025.out Bmr025.trans Bmr026.dadb Bmr026.out Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh something i - i - i'm making a major thing in the agenda is i wanna help in getting together a list of what it is that we've done Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.out Bmr020.trans Bmr021.dadb Bmr021.out Bmr021.trans Bmr022.dadb Bmr022.out Bmr022.trans Bmr023.dadb Bmr023.out Bmr023.trans Bmr024.dadb Bmr024.out Bmr024.trans Bmr025.dadb Bmr025.out Bmr025.trans Bmr026.dadb Bmr026.out Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh so i can tell her .,s,s
Bmr026-c3_1205360_1205750,okay .,o_k .,b,b
Bmr026-c3_1206880_1207300,all right .,alright .,b,b
Bmr026-c3_1209090_1209530,uhhuh .,mm-hmm .,b,b
Bmr026-c3_1213600_1214010,okay .,o_k .,b,b
Bmr026-c1_1213810_1215140,i think i have a pretty good idea .,i think i have a pretty good idea .,s,s
Bmr026-c1_1215140_1216420,but - but um ==,but - but um ==,fh,fh
Bmr026-c1_1217600_1222430,uh - and then the next day uh - late in the day i'll be having that - that discussion with her .,uh - and then the next day uh - late in the day i'll be having that - that discussion with her .,s,s
Bmr026-c3_1221260_1221610,huh .,mmm .,b,b
Bmr026-c1_1223420_1226390,um - so ==,um - so ==,fh,fh
Bmr026-c3_1229890_1246490,um - uh - | one thing - i mean we - in past meetings we had um - also a- - you know various - variously talked about the um - work that w- - uh - was happening sort of on the - on the recognition side .,um - uh - | one thing - i mean we - in past meetings we had um - also a- - you know various - variously talked about the um - work that w- - uh - was happening sort of on the - on the recognition side .,fg|s^tc,fg|s^tc
Bmr026-c3_1246490_1250600,um - | but isn't necessarily related to meetings uh - specifically .,um - | but isn't necessarily related to meetings uh - specifically .,fh|s,fh|s
Bmr026-c1_1246690_1247170,uhhuh .,mm-hmm .,b,b
Bmr026-c3_1250600_1258870,so um - and i wondered whether we should maybe have um - a separate meeting .,so um - and i wondered whether we should maybe have um - a separate meeting .,s^cs,s^cs
Bmr026-c3_1259150_1262830,and between you know whoever's interested in that .,and between you know whoever's interested in that .,s,s
Bmr026-c3_1263500_1266890,because i feel that uh - there's plenty of stuff to talk about .,because i feel that uh - there's plenty of stuff to talk about .,s^df,s^df
Bmr026-c3_1266890_1273010,but it would be sort of um - maybe the wrong place to do it in this meeting if uh ==,but it would be sort of um - maybe the wrong place to do it in this meeting if uh ==,s.%--,s.%--
Bmr026-c1_1272770_1273140,think so ?,think so ?,qy^bh,qy^bh
Bmr026-c3_1273970_1285570,well it's that it's just going to be ver- - very boring for people who are not you know sort of really interested in the details of the recognition system .,well it's that it's just gonna be ver- - very boring for people who are not you know sort of really interested in the details of the recognition system .,s,s
Bmr026-c0_1284610_1285150,i'm interested .,i'm interested .,s^nd,s^nd
Bmr026-c2_1286140_1286520,me too .,me too .,s^aa,s^aa
Bmr026-c1_1286420_1292640,well | okay so how many - how many people here would not be interested in uh - in a meeting about recognition ?,well | o_k so how many - how many people here would not be interested in uh - in a meeting about recognition ?,fg|qw,fg|qw
Bmr026-c5_1293280_1294080,jane may not be .,jane may not be .,s,s
Bmr026-c0_1293780_1294660,jane i think .,jane i think .,s,s
Bmr026-c3_1294670_1296240,well i know - well jane an- ==,<w-> well i know - well jane an- ==,s.%--,s.%--
Bmr026-c2_1295060_1295280,yep .,yep .,b,b
Bmr026-c3_1296920_1299770,well you mean in a separate meeting or ha- - talking about it in this ?==,well you mean in a separate meeting or ha- - <ha-> talking about it in this ?==,qr.%--,qr.%--
Bmr026-c0_1299410_1299590,no .,no .,s^ar,s^ar
Bmr026-c0_1299590_1301000,if we talked about it in this meeting .,if we talked about it in this meeting .,s,s
Bmr026-c5_1300180_1301530,he's wondering how much overlap there will be .,he's wondering how much overlap there will be .,s,s
Bmr026-c3_1301520_1301910,okay .,o_k .,s^bk,s^bk
Bmr026-c1_1301640_1302330,yeah | so you're su- ==,yeah | so you're su- ==,fg|%-,fg|%-
Bmr026-c1_1302330_1302840,so ==,so ==,%-,%-
Bmr026-c3_1303050_1303570,so ==,so ==,fg,fg
Bmr026-c3_1303570_1305430,uh - uh ==,uh - uh ==,fh,fh
Bmr026-c3_1305430_1306470,liz and jane probably .,liz and jane probably .,s,s
Bmr026-c1_1307190_1309110,okay | so we're going to have a guy's meeting .,o_k | so we're gonna have a guy's meeting .,s^bk|s,s^bk|s
Bmr026-c5_1312100_1313090,good thing liz isn't here .,good thing liz isn't here .,s,s
Bmr026-c1_1313240_1313400,real ==,real ==,%-,%-
Bmr026-c3_1313620_1315290,uh - if you want to put it that way .,<uh> uh - if you wanna put it that way .,s,s
Bmr026-c4_1314150_1314890,watch a ball game ?,watch a ball game ?,qy^d^j^rt,qy^d^j^rt
Bmr026-c1_1316200_1321430,yeah real - real - real men - real men do decoding or something like that .,<wh-> yeah real - real - real men - real men do decoding Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.out Bmr020.trans Bmr021.dadb Bmr021.out Bmr021.trans Bmr022.dadb Bmr022.out Bmr022.trans Bmr023.dadb Bmr023.out Bmr023.trans Bmr024.dadb Bmr024.out Bmr024.trans Bmr025.dadb Bmr025.out Bmr025.trans Bmr026.dadb Bmr026.out Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh or something like that .,s^j,s^j
Bmr026-c5_1316280_1317320,don't listen to this liz .,don't listen to this liz .,s^co^t3,s^co^t3
Bmr026-c3_1321260_1321570,right .,right .,b,b
Bmr026-c1_1322430_1322840,uh ==,uh ==,%-,%-
Bmr026-c3_1323160_1330190,i mean it- - it's sort of - i mean when - when the talk is about data collection stuff sometimes i've - you know i - i'm bored .,i mean it- - it's sort of - i mean when - when the talk is about data collection stuff sometimes i've - you know i - i'm bored .,s^by,s^by
Bmr026-c1_1324260_1324590,yeah .,yeah .,b,b
Bmr026-c0_1329190_1329710,the nod off ?,the nod off ?,qy^j^rt,qy^j^rt
Bmr026-c3_1330190_1336350,so it's i c- - i can sympathize with them not wanting to - to - to be uh - you know if i cou- - you know this could ==,so it's i c- - i can sympathize with them not wanting to - <i-> to - to be uh - you know if i cou- - you know this could ==,s.%-,s.%-
Bmr026-c1_1331710_1332690,it's because y- - you have a ==,it's cuz y- - you have a ==,s.%-,s.%-
Bmr026-c1_1336700_1338540,so you need a better developed feminine side .,so you need a better developed feminine side .,s^co,s^co
Bmr026-c3_1342870_1342940,heh !,{heh} !,b,b
Bmr026-c3_1343980_1344820,i'm not sure i want to ==,i'm not sure i wanna ==,s.%-,s.%-
Bmr026-c1_1344030_1345690,there's probably going to be a lot of bleeps in this meeting .,there's probably gonna be a lot of bleeps in this meeting .,s,s
Bmr026-c0_1345660_1347050,yeah i would as- - i would guess .,yeah i would as- - i would guess .,s^aa,s^aa
Bmr026-c1_1349380_1351910,uh - um ==,uh - um ==,fh,fh
Bmr026-c3_1349540_1349850,yeah .,yeah .,b,b
Bmr026-c3_1350360_1350620,and ==,and ==,%-,%-
Bmr026-c1_1354840_1358120,i think it must be uh - nearing the end of the week .,i think it must be uh - nearing the end of the week .,s,s
Bmr026-c1_1358120_1360920,um - | yeah .,um - | yeah .,fh|s^bk,fh|s^bk
Bmr026-c1_1361840_1363520,i - you know i - i've heard some comments about like this .,i - you know i - i've heard some comments about like this .,s^tc,s^tc
Bmr026-c1_1363520_1364290,that m- - could be .,that m- - could be .,s,s
