Bmr019-c4_0000363_0001383,okay | we're on .,o_k | we're on .,s^bk|s^t,s^bk|s^t
Bmr019-c2_2045980_2047070,not for long utterances .,not for long utterances .,s^bd^df,s^bd^df
Bmr019-c8_2046110_2046330,okay .,o_k .,b,b
Bmr019-c0_2046950_2047370,yeah .,yeah .,b,b
Bmr019-c2_2047070_2048630,but jus- - just a couple of places .,but jus- - just a couple of places .,s^bd^e,s^bd^e
Bmr019-c1_2048940_2049360,uhhuh .,mm-hmm .,b,b
Bmr019-c2_2049360_2050880,and embedde- - embedded in overlaps .,and embedde- - embedded in overlaps .,s,s
Bmr019-c2_2050880_2056680,the other thing that was w- - interesting to me was that i picked up a lot of um backchannels which were hidden in the mixed signal .,the other thing that was w- - interesting to me was that i picked up a lot of um backchannels which were hidden in the mixed signal .,s,s
Bmr019-c2_2056680_2058370,which you know i mean you c- - not - not too surprising .,which you know i mean you c- - not - not too surprising .,s,s
Bmr019-c0_2056930_2057450,right .,right .,b,b
Bmr019-c2_2058690_2059730,but the other thing that ==,but the other thing that ==,s.%--,s.%--
Bmr019-c2_2060070_2061300,i - i hadn't thought about this .,i - i hadn't thought about this .,s,s
Bmr019-c2_2061300_2066450,but i thou- - i wanted to raise this when you were uh with respect to also a strategy which might help with the alignments potentially .,but i thou- - i wanted to raise this when you were uh with respect to also a strategy which might help with the alignments potentially .,s,s
Bmr019-c2_2066450_2066860,but that's ==,but that's ==,s.%--,s.%--
Bmr019-c2_2067790_2079620,when i was looking at these backchannels they were turning up usually very often in - w- - well i won't say usually - but anyway very often i picked them up in a channel w- - which was the person who had asked a question .,when i was looking at these backchannels they were turning up usually very often in - w- - well i won't say usually - but anyway very often i picked them up in a channel w- - which was the person who had asked a question .,s,s
Bmr019-c2_2080000_2082940,s- - so like someone says an- - and have you done the so-and-so .,s- - so like someone says an- - and have you done the so-and-so .,s:qy,s:qy
Bmr019-c2_2083460_2084760,and then there would be backchannels .,and then there would be backchannels .,s,s
Bmr019-c2_2084760_2086320,but it would be the person who asked the question .,but it would be the person who asked the question .,s,s
Bmr019-c2_2086320_2088280,other people weren't really doing much backchanneling .,other people weren't really doing much backchannelling .,s,s
Bmr019-c2_2088740_2090730,and you know sometimes you have the - yeah uhhuh .,and you know sometimes you have the - yeah uh-huh .,s:s,s:s
Bmr019-c0_2089600_2090630,well that's interesting .,well that's interesting .,s^ba,s^ba
Bmr019-c2_2091050_2092300,i mean i- - it wouldn't be perfect .,i mean i- - it wouldn't be perfect .,s^bd,s^bd
Bmr019-c0_2091400_2091850,yeah .,yeah .,b,b
Bmr019-c2_2092300_2097230,but - but it does seem more natural to give a backchannel when - when you're somehow involved in the topic .,but - but it does seem more natural to give a backchannel when - when you're somehow involved in the topic .,s^df,s^df
Bmr019-c0_2093430_2094780,no | that's really interesting .,no | that's really interesting .,s^ar|s^ba,s^ar|s^ba
Bmr019-c2_2097230_2100490,and the most natural way is for you to have initiated the topic by asking a question .,and the most natural way is for you to have initiated the topic by asking a question .,s,s
Bmr019-c1_2097480_2097850,uhhuh .,mm-hmm .,b,b
Bmr019-c5_2099500_2099980,well ==,well ==,fg,fg
Bmr019-c5_2100990_2101310,i think ==,i think ==,s.%--,s.%--
Bmr019-c0_2101280_2102220,that's interesting .,that's interesting .,s^ba,s^ba
Bmr019-c5_2101310_2107100,no | i think it's - actually i think what's going on is backchanneling is something that happens in two party conversations .,no | i think it's - actually i think what's going on is backchannelling is something that happens in two-party conversations .,s^ar|s,s^ar|s
Bmr019-c2_2107080_2107300,uhhuh .,mm-hmm .,b,b
Bmr019-c5_2107100_2111350,and if you ask someone a question you essentially initiating a little two party conversation .,and if you ask someone a question you essentially initiating a little two-party conversation .,s^e,s^e
Bmr019-c2_2110890_2110950,yeah .,yeah .,b.%,b.%
Bmr019-c0_2111540_2113310,well actu- - yeah when we looked at this .,well actu- - yeah when we looked at this .,s,s
Bmr019-c5_2111980_2114390,so then you're - so and then you're expected to backchannel .,so then you're - so and then you're expected to backchannel .,s,s
Bmr019-c2_2112070_2112680,exactly .,exactly .,s^aa,s^aa
Bmr019-c5_2114390_2117290,because the person is addressing you directly and not everybody .,because the person is addressing you directly and not everybody .,s^df,s^df
Bmr019-c2_2115810_2116320,exactly .,exactly .,s^aa,s^aa
Bmr019-c2_2117230_2118010,exactly my point .,exactly my point .,s,s
Bmr019-c5_2117820_2118020,yeah .,yeah .,s^bk,s^bk
Bmr019-c2_2118010_2120080,an- - and so this is the expectation thing that - uh uh ==,an- - and so this is the expectation thing that - uh uh ==,s.%--,s.%--
Bmr019-c5_2118020_2118490,yeah .,yeah .,b,b
Bmr019-c0_2118660_2118960,uhhuh .,mm-hmm .,b,b
Bmr019-c5_2118910_2119120,right .,right .,b,b
Bmr019-c5_2119860_2120090,right .,right .,b,b
Bmr019-c2_2120080_2120720,just the dyadic ==,just the dyadic ==,s.%--,s.%--
Bmr019-c2_2120720_2130630,but in addition you know if someone has done this analysis himself and isn't involved in the dyad but they might also give backchannels to verify what - what the answer is that this - that the - the answerer's given ==,but in addition you know if someone has done this analysis himself and isn't involved in the dyad but they might also give backchannels to verify what - what the answer is that this - that the - the answerer's given ==,s.%-,s.%-
Bmr019-c1_2121990_2122130,h- ==,h- ==,%-,%-
Bmr019-c1_2129850_2131730,i tell you i say - i say uhhuh a lot .,i tell you i say - i say uh-huh a lot .,s:s,s:s
Bmr019-c0_2129910_2130290,right .,right .,b,b
Bmr019-c0_2130620_2130860,it's ==,it's ==,%-,%-
Bmr019-c2_2131510_2131870,there you go .,there you go .,s,s
Bmr019-c0_2132050_2133080,well but it's interesting .,well but it's interesting .,s,s
Bmr019-c0_2133080_2133810,because uh ==,cuz uh ==,s^df.%-,s^df.%-
Bmr019-c1_2133550_2134840,while people are talking to each other .,while people are talking to each other .,s^e,s^e
Bmr019-c2_2135010_2135410,there you go .,there you go .,s,s
Bmr019-c0_2135440_2137870,but there are fewer - i think there are fewer uhhuh .,but there are fewer - i think there are fewer uh-huhs .,s^ng:s,s^ng:s
Bmr019-c2_2135750_2135910,yeah .,yeah .,b.%,b.%
Bmr019-c2_2136710_2136860,yeah .,yeah .,b,b
Bmr019-c0_2138010_2144880,i mean just from - we were looking at word frequency lists to try to find the cases that we would allow to have the reject words in between in doing the alignment .,i mean just from - we were looking at word frequency lists to try to find the cases that we would allow to have the reject words in between in doing the alignment .,s,s
Bmr019-c0_2145210_2147520,you know the ones we wouldn't constrain to be next to the other words .,you know the ones we wouldn't constrain to be next to the other words .,s,s
Bmr019-c2_2145450_2146060,oh yeah .,oh yeah .,s^bk,s^bk
Bmr019-c0_2148300_2151320,and uhhuh is not as frequent .,and uh-huh is not as frequent .,s:s,s:s
Bmr019-c0_2152030_2153780,as it sort of would be in switchboard .,as it sort of would be in switchboard .,s,s
Bmr019-c0_2153780_2157860,if you looked at just a word frequency list of one word short utterances .,if you looked at just a word frequency list of one-word short utterances .,s^e,s^e
Bmr019-c0_2157860_2159220,and yeah is way up there .,and yeah is way up there .,s:s,s:s
Bmr019-c0_2159220_2159960,but not uhhuh .,but not uh-huh .,s:s,s:s
Bmr019-c0_2159960_2160830,and so i was thinking ==,and so i was thinking ==,s.%--,s.%--
Bmr019-c0_2161570_2166670,thi- - it's not like you're being encouraged by everybody else to keep talking in the meeting .,thi- - it's not like you're being encouraged by everybody else to keep talking in the meeting .,s,s
Bmr019-c0_2166670_2168140,and uh that's all i- - i'll stop there .,and uh that's all i- - i'll stop there .,s,s
Bmr019-c0_2168140_2170090,because i- - i think what you say makes a lot of sense .,cuz i- - i think what you say makes a lot of sense .,s^df,s^df
Bmr019-c2_2168190_2168730,well that's right .,well that's right .,s^na,s^na
Bmr019-c2_2168730_2169140,and that would ==,and that would ==,s.%-,s.%-
Bmr019-c2_2170030_2170790,well an- ==,well an- ==,%-,%-
Bmr019-c0_2170150_2170880,but it was sort of ==,but it was sort of ==,s.%-,s.%-
Bmr019-c2_2170870_2173400,and what you say is the - is the re- - uh o- - other side of this .,and what you say is the - is the re- - uh o- - other side of this .,s,s
Bmr019-c2_2173400_2178910,which is that you know so th- - there are lots of channels where you don't have these backchannels w- - when a question has been asked .,which is that you know so th- - there are lots of channels where you don't have these backchannels w- - when a question has been asked .,s^e,s^e
Bmr019-c2_2178950_2180100,and - and these ==,and - and these ==,s.%-,s.%-
Bmr019-c0_2179480_2179830,right .,right .,b,b
Bmr019-c0_2179980_2183310,there's just probably less backchanneling in general .,there's just probably less backchannelling in general .,s,s
Bmr019-c2_2180480_2180590,uhhuh .,mm-hmm .,b.%,b.%
Bmr019-c2_2182300_2183420,so that's good news really .,so that's good news really .,s^ba,s^ba
Bmr019-c0_2183700_2188990,even if you consider every other person altogether one person in the meeting .,even if you consider every other person altogether one person in the meeting .,s,s
Bmr019-c0_2189070_2190270,but we'll find out anyway .,but we'll find out anyway .,s,s
Bmr019-c0_2190270_2198560,we were - i guess the other thing we're - we're - i should say is that we're going to um try - compare this type of overlap analysis to switchboard .,we were - i guess the other thing we're - we're - i should say is that we're gonna um try - compare this type of overlap analysis to switchboard .,s,s
Bmr019-c5_2198940_2199590,and callhome .,and callhome .,s^e,s^e
Bmr019-c0_2199160_2199510,where ==,where ==,s.%-,s.%-
Bmr019-c0_2199640_2200300,and callhome .,and callhome .,s^m^na,s^m^na
Bmr019-c0_2200300_2208190,where we have both sides so that we can try to answer this question of you know is there really more overlap in meetings or is it just because we don't have the other channel in switchboard ?,where we have both sides so that we can try to answer this question of you know is there really more overlap in meetings or is it just because we don't have the other channel in switchboard ?,qrr,qrr
Bmr019-c4_2201370_2201810,uhhuh .,mm-hmm .,b,b
Bmr019-c1_2201390_2202000,uhhuh .,mm-hmm .,b,b
Bmr019-c0_2208190_2209440,and we don't know what people are doing .,and we don't know what people are doing .,s,s
Bmr019-c0_2210020_2211420,try to create a paper out of that .,try to create a paper out of that .,s,s
Bmr019-c1_2212020_2215030,yeah | i mean y- - y- - you folks have probably already told me .,yeah | i mean y- - y- - you folks have probably already told me .,fg|s^df,fg|s^df
Bmr019-c1_2215030_2218500,but were - were you intending to do a eurospeech submission ?,but were - were you intending to do a eurospeech submission ?,qy,qy
Bmr019-c1_2218500_2218530,or ?==,or ?==,qrr.%--,qrr.%--
Bmr019-c0_2219680_2221070,um you mean the one due tomorrow ?,um you mean the one due tomorrow ?,qy^bu^d^rt,qy^bu^d^rt
Bmr019-c1_2221330_2221550,yeah .,yeah .,s^aa,s^aa
Bmr019-c0_2221970_2225930,yeah | well we're still like writing the scripts for doing the research .,yeah | well we're still like writing the scripts for doing the research .,s^bk|s,s^bk|s
Bmr019-c0_2226020_2227890,and we will - yes we're going to try .,and we will - yes we're gonna try .,s^na,s^na
Bmr019-c2_2226430_2226860,uhhuh .,mm-hmm .,b.%,b.%
Bmr019-c0_2229600_2234740,and i was telling don do not take this as an example of how people should work .,and i was telling don do not take this as an example of how people should work .,s,s
Bmr019-c1_2234990_2235950,do as i say .,do as i say .,s:s,s:s
Bmr019-c8_2235310_2235760,that's r- ==,that's r- ==,s.%-,s.%-
Bmr019-c0_2235940_2237710,so | we will try .,so | we will try .,fg|s,fg|s
Bmr019-c1_2235950_2237080,don't do as i do .,don't do as i do .,s:s,s:s
Bmr019-c1_2237080_2237340,yeah .,yeah .,b,b
Bmr019-c4_2237600_2237850,well ==,well ==,fg,fg
Bmr019-c0_2237710_2239020,it'll probably be a little late .,it'll probably be a little late .,s,s
Bmr019-c4_2239040_2239600,it is different .,it is different .,s,s
Bmr019-c0_2239060_2240080,but i'm going to try it .,but i'm gonna try it .,s,s
Bmr019-c4_2239600_2242850,in previous years eurospeech only had the abstract due by now .,in previous years eurospeech only had the abstract due by now .,s,s
Bmr019-c4_2242850_2243780,not the full paper .,not the full paper .,s,s
Bmr019-c8_2243310_2243670,right .,right .,b.%,b.%
Bmr019-c0_2243770_2244160,right .,right .,s^aa,s^aa
Bmr019-c4_2244350_2245550,and so all our timing was off .,and so all our timing was off .,s,s
Bmr019-c4_2245550_2247090,i've given up on trying to do digits .,i've given up on trying to do digits .,s,s
Bmr019-c4_2247090_2250310,i just don't think that what i have so far makes a eurospeech paper .,i just don't think that what i have so far makes a eurospeech paper .,s,s
Bmr019-c0_2251130_2253140,well i'm no- - we may be in the same position .,well i'm no- - we may be in the same position .,s^rt,s^rt
Bmr019-c0_2253140_2255260,and i figured we'll try .,and i figured we'll try .,s,s
Bmr019-c0_2255260_2261630,because that'll at least get us to the point where we have - we have this really nice database format that andreas and i were working out that ==,because that'll at least get us to the point where we have - we have this really nice database format that andreas and i were working out that ==,s.%--,s.%--
Bmr019-c0_2262020_2263170,it - it's not very fancy .,it - it's not very fancy .,s,s
Bmr019-c0_2263170_2265840,it's just a - ascii line by line format .,it's just a - ascii line by line format .,s,s
Bmr019-c0_2265840_2267450,but it does give you information .,but it does give you information .,s,s
Bmr019-c5_2266700_2268880,it's the - it's the spurt format .,it's the - it's the spurt format .,s,s
Bmr019-c0_2269040_2270960,it - yeah we're calling these spurts after chafe .,it - yeah we're calling these spurts after chafe .,s:s,s:s
Bmr019-c0_2270960_2275470,i was trying to find what's a word for a continuous region with pauses around it .,i was trying to find what's a word for a continuous region with pauses around it .,s^df,s^df
Bmr019-c2_2272250_2272600,huh .,hmm .,b.%,b.%
Bmr019-c1_2275580_2279180,yeah | i know that th- - the telecom people use - use spurt for that .,yeah | i know that th- - the telecom people use - use spurt for that .,fg|s,fg|s
Bmr019-c2_2275610_2275930,good .,good .,b,b
Bmr019-c0_2278790_2279300,they do ?,they do ?,qy^bu^d^rt,qy^bu^d^rt
Bmr019-c5_2279300_2279560,oh .,oh .,s^bk,s^bk
Bmr019-c1_2279400_2279780,yes .,yes .,s^aa,s^aa
Bmr019-c0_2279440_2279830,oh .,oh .,s^bk,s^bk
Bmr019-c0_2280190_2280410,oh .,oh .,s^bk,s^bk
Bmr019-c1_2280280_2283220,and that's - i mean i - i was using that for a while when i was doing the rate of speech stuff .,and that's - i mean i - i was using that for a while when i was doing the rate of speech stuff .,s,s
Bmr019-c0_2280900_2281440,i would jus- ==,i would jus- ==,s.%-,s.%-
Bmr019-c1_2283220_2288050,because i - because i looked up in some books and i found - okay i want to find a spurt in which ==,because i - because i looked up in some books and i found - o_k i wanna find a spurt in which ==,s^df.%--:s.%--,s^df.%--:s.%--
Bmr019-c0_2283910_2284820,uh right .,ah right .,s^bk,s^bk
Bmr019-c0_2287480_2289190,it's just like defined by the acoustics .,it's just like defined by the acoustics .,s,s
Bmr019-c1_2288050_2293170,and - an- - because - because it's another question about how many pauses they put in between them .,and - an- - because - cuz it's another question about how many pauses they put in between them .,s,s
Bmr019-c4_2291490_2291920,horrible .,horrible .,s^ba,s^ba
Bmr019-c0_2292580_2293050,right .,right .,b,b
Bmr019-c1_2293500_2296780,but how fast do they do the words within the spurt ?,but how fast do they do the words within the spurt ?,qo,qo
Bmr019-c0_2296710_2297170,right .,right .,b,b
Bmr019-c1_2296780_2296990,yeah .,yeah .,b.%,b.%
Bmr019-c8_2296830_2297910,you know burst also ?,you know burst also ?,qy^bu^d^rt,qy^bu^d^rt
Bmr019-c4_2297220_2297740,it's going to ==,it's gonna ==,s.%-,s.%-
Bmr019-c0_2297380_2299970,well that's what we were calling spurt .,well that's what we were calling spurt .,s,s
Bmr019-c4_2298250_2298680,burst .,burst .,s,s
Bmr019-c8_2298270_2299670,isn't burst is used also ?,isn't burst is used also ?,qy^rt,qy^rt
Bmr019-c0_2299970_2300490,so ==,so ==,fh,fh
Bmr019-c4_2300700_2304910,spurt has the horrible name overloading with other - with hardware at icsi .,spurt has the horrible name overloading with other - with hardware at icsi .,s,s
Bmr019-c1_2304010_2304480,here .,here .,s^2,s^2
Bmr019-c1_2304690_2305830,just very locally | yeah .,just very locally | yeah .,s^na|s^aa,s^na|s^aa
Bmr019-c1_2305830_2306830,but - but that just ==,but - but that just ==,s.%-,s.%-
Bmr019-c0_2306040_2310390,well well chafe had this wor- - i think it was chafe or somebody had a - the word spurt originally .,well well chafe had this wor- - i think it was chafe or somebody had a - the word spurt originally .,s,s
Bmr019-ca_2306440_2306620,here @@ ==,here @@ ==,%,%
Bmr019-c0_2310390_2310980,and so i ==,and so i ==,s.%--,s.%--
Bmr019-c2_2311560_2311870,actually ==,actually ==,%-,%-
Bmr019-c0_2311590_2312830,but tha- - that's good to know .,but tha- - that's good to know .,s^ba,s^ba
Bmr019-c0_2313060_2313830,was thi- - it's chafe ?,was thi- - it's chafe ?,qy,qy
Bmr019-c5_2313520_2314600,so maybe we should talk ==,so maybe we should talk ==,s^cs.%-,s^cs.%-
Bmr019-c2_2313630_2316270,well see i know s- - sue wrote about spurts of development .,well see i know s- - sue wrote about spurts of development .,s,s
Bmr019-c0_2315260_2316040,maybe it was sue ==,maybe it was sue ==,s.%-,s.%-
Bmr019-c2_2316520_2318110,but in any case i think it's a good term .,but in any case i think it's a good term .,s^ba^rt,s^ba^rt
Bmr019-c0_2316550_2316670,y- ==,y- ==,%-,%-
Bmr019-c4_2318330_2318630,huh !,hmm !,b,b
Bmr019-c2_2318400_2318820,and uh ==,and uh ==,fh,fh
Bmr019-c0_2318620_2322060,so we have spurts and we have spurt-ify dot shell and spurt-ify .,so we have spurts and we have spurt-ify dot shell and spurt-ify .,s,s
Bmr019-c1_2318750_2318990,yeah .,yeah .,b,b
Bmr019-c2_2321460_2322930,and ma- - maybe - maybe chafe did .,and ma- - Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.trans Bmr021.dadb Bmr021.trans Bmr022.dadb Bmr022.trans Bmr023.dadb Bmr023.trans Bmr024.dadb Bmr024.trans Bmr025.dadb Bmr025.trans Bmr026.dadb Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh maybe - maybe chafe did .,s,s
Bmr019-c5_2321710_2321940,uh ==,uh ==,fh,fh
Bmr019-c1_2321730_2322480,yeah .,yeah .,b,b
Bmr019-c5_2322470_2323040,so s- ==,so s- ==,%-,%-
Bmr019-c2_2322930_2324200,i know - i know ch- - chafe dealt with ==,i know - i know ch- - chafe dealt with ==,s.%-,s.%-
Bmr019-c0_2323080_2324900,and then it's got all - it's a verb now .,and then it's got all - it's a verb now .,s,s
Bmr019-c8_2323200_2323870,that's cool .,that's cool .,s^ba,s^ba
Bmr019-c5_2324310_2325080,w- - uh w- ==,w- - uh w- ==,%-,%-
Bmr019-c2_2324980_2326570,chafe speaks about intonation units .,chafe speaks about intonation units .,s,s
Bmr019-c0_2326720_2327520,yes right .,yes right .,s^aa,s^aa
Bmr019-c2_2327280_2328610,but maybe he speaks about spurts as well .,but maybe he speaks about spurts as well .,s,s
Bmr019-c5_2327490_2327790,we- ==,we- ==,%-,%-
Bmr019-c2_2328610_2329030,and i just don't know .,and i just don't know .,s^no,s^no
Bmr019-c2_2329030_2329370,yeah go ahead .,yeah go ahead .,s^co,s^co
Bmr019-c5_2329200_2329980,so what we're doing ==,so what we're doing ==,s.%--,s.%--
Bmr019-c4_2329500_2330600,i've heard burst also .,i've heard burst also .,s:s,s:s
Bmr019-c5_2329980_2334910,uh this - this is just - maybe someone has s- - some - some ideas about how to do it better .,uh this - this is just - maybe someone has s- - some - some ideas about how to do it better .,s^bd^df,s^bd^df
Bmr019-c8_2330890_2331350,huh .,mmm .,b,b
Bmr019-c5_2334910_2338760,but we so we're taking these uh alignments from the individual channels .,but we so we're taking these uh alignments from the individual channels .,s,s
Bmr019-c5_2339590_2340090,we're ==,we're ==,s.%--,s.%--
Bmr019-c5_2340790_2344000,from each alignment we're producing uh one of these c. t. m files .,from each alignment we're producing uh one of these c_t_m files .,s,s
Bmr019-c5_2344000_2349000,which essentially has - it's just a linear sequence of words with the begin times for every word and the duration .,which essentially has - it's just a linear sequence of words with the begin times for every word and the duration .,s,s
Bmr019-c2_2344350_2344670,great .,great .,b,b
Bmr019-c5_2350140_2351160,and - and - and of course ==,and - and - and of course ==,s.%-,s.%-
Bmr019-c0_2350620_2353000,it looks like a waves label file almost | right ?,it looks like a waves label file almost | right ?,s|qy^d^f^g,s|qy^d^f^g
Bmr019-c5_2352710_2356190,right | but it has - one - the first column has the meeting name .,right | but it has - one - the first column has the meeting name .,s^aa|s,s^aa|s
Bmr019-c0_2353140_2353460,it's just ==,it's just ==,s.%-,s.%-
Bmr019-c5_2356420_2358440,so it could actually contain several meetings .,so it could actually contain several meetings .,s,s
Bmr019-c5_2358440_2358750,um ==,um ==,fh,fh
Bmr019-c5_2359370_2360640,and the second column is the channel .,and the second column is the channel .,s,s
Bmr019-c5_2361500_2366530,third column is the um start times of the words and the fourth column is the duration of the words .,third column is the um start times of the words and the fourth column is the duration of the words .,s,s
Bmr019-c5_2367530_2368390,and then we're ==,and then we're ==,s.%--,s.%--
Bmr019-c5_2369740_2370470,um ==,um ==,fh,fh
Bmr019-c5_2372000_2379430,okay | then we have a messy alignment process where we actually insert into the sequence of words the uh tags .,o_k | then we have a messy alignment process where we actually insert into the sequence of words the uh tags .,fg|s,fg|s
Bmr019-c5_2379430_2382120,for like where - where sentence - ends of sentence .,for like where - where sentence - ends of sentence .,s^e,s^e
Bmr019-c5_2382430_2383530,question marks .,question marks .,s^e,s^e
Bmr019-c5_2383530_2385580,um | various other things .,um | various other things .,fh|s^e,fh|s^e
Bmr019-c0_2385590_2387340,yeah | these are things that we had don ==,yeah | these are things that we had don ==,fg|s.%--,fg|s.%--
Bmr019-c5_2385790_2386070,uh ==,uh ==,fh,fh
Bmr019-c0_2387340_2392220,so don sort of um propagated the punctuation from the original transcriber .,so don sort of um propagated the punctuation from the original transcriber .,s,s
Bmr019-c5_2388190_2388480,right .,right .,b,b
Bmr019-c0_2392220_2397650,so whether it was like question mark or period or um you know comma and things like that .,so whether it was like question mark or period or um you know comma and things like that .,s,s
Bmr019-c0_2397650_2406930,and we kept the - disfluency dashes - uh kept those in because we sort of want to know where those are relative to the spurt overlaps .,and we kept the - <and> disfluency dashes - uh kept those in because we sort of wanna know where those are relative to the spurt overlaps .,s,s
Bmr019-c5_2400380_2400620,uhhuh .,mm-hmm .,b,b
Bmr019-c5_2406570_2406740,right .,right .,b,b
Bmr019-c5_2406840_2410530,so - so those are actually sort of retro fitted into the time alignment .,so - so those are actually sort of retro-fitted into the time alignment .,s,s
Bmr019-c0_2407310_2408490,sp- - overlaps .,sp- - overlaps .,s^bsc,s^bsc
Bmr019-c0_2408490_2408600,or ==,or ==,fh,fh
Bmr019-c5_2411430_2414930,and then we merge all the alignments from the various channels .,and then we merge all the alignments from the various channels .,s,s
Bmr019-c5_2414930_2416390,and we sort them by time .,and we sort them by time .,s,s
Bmr019-c5_2418560_2425430,and then there's a then there's a process where you now determine the spurts .,and then there's a then there's a process where you now determine the spurts .,s,s
Bmr019-c5_2426110_2429260,that is actually no you do that before you merge the various channels .,that is actually no you do that before you merge the various channels .,s,s
Bmr019-c5_2429260_2431770,so you - you id- - identify by some criterion .,so you - you id- - identify by some criterion .,s,s
Bmr019-c5_2431870_2432930,which is pause length .,which is pause length .,s,s
Bmr019-c5_2433390_2436250,you identify the beginnings and ends of these spurts .,you identify the beginnings and ends of these spurts .,s,s
Bmr019-c5_2436250_2439400,and you put another set of tags in there to keep those straight .,and you put another set of tags in there to keep those straight .,s,s
Bmr019-c1_2437960_2438380,uhhuh .,mm-hmm .,b.%,b.%
Bmr019-c5_2440050_2444770,and then you merge everything in terms of you know linearizing the sequence based on the time marks .,and then you merge everything in terms of you know linearizing the sequence based on the time marks .,s,s
Bmr019-c5_2445450_2450310,and then you extract the individual channels again .,and then you extract the individual channels again .,s,s
Bmr019-c5_2450310_2454240,but this time you know where the other people start and end talking .,but this time you know where the other people start and end talking .,s,s
Bmr019-c5_2454580_2456230,you know where their spurts start and end .,you know where their spurts start and end .,s,s
Bmr019-c5_2457230_2462600,and so you extract the individual channels uh one sp- - spurt by spurt as it were .,and so you extract the individual channels uh one sp- - spurt by spurt as it were .,s,s
Bmr019-c5_2463170_2468760,um and inside the words or between the words you now have begin and end tags for overlaps .,um and inside the words or between the words you now have begin and end tags for overlaps .,s,s
Bmr019-c5_2468900_2479330,so you - you basically have everything sort of lined up and in a form where you can look at the individual speakers and how their speech relates to the other speakers' speech .,so you - you basically have everything sort of lined up and in a form where you can look at the individual speakers and how their speech relates to the other speakers' speech .,s,s
Bmr019-c4_2478920_2479110,right .,right .,b,b
Bmr019-c0_2479890_2482400,uh i mean i think that's actually really u- - useful also .,uh i mean i think that's actually really u- - useful also .,s,s
Bmr019-c5_2479970_2480350,and ==,and ==,%-,%-
Bmr019-c0_2482400_2494170,because even if you weren't studying overlaps if you want to get a transcription for the far field mikes how are you going to know which words from which speakers occurred at which times relative to each other ?,because even if you weren't studying overlaps if you wanna get a transcription for the far-field mikes how are you gonna know which words from which speakers occurred at which times relative to each other ?,qo^df,qo^df
Bmr019-c0_2494170_2499340,you have to be able to get a transcript like - like this anyway just for doing far field recognition .,you have to be able to get a transcript like - like this anyway just for doing far-field recognition .,s,s
Bmr019-c0_2499340_2499650,so ==,so ==,fh,fh
Bmr019-c0_2500440_2501910,you know it's - it's sort of ==,you know it's - it's sort of ==,s.%--,s.%--
Bmr019-c5_2500870_2501150,yeah .,yeah .,b,b
